Date_datetime,Région,tmoy,annee,mois,Jour_semaine,Consommation (MW)
2016-01-01,Auvergne-Rhône-Alpes,6.76,2016,1,4,363348.0
2016-01-01,Bourgogne-Franche-Comté,5.87,2016,1,4,475731.0
2016-01-01,Bretagne,7.64,2016,1,4,601236.0
2016-01-01,Centre-Val de Loire,6.12,2016,1,4,705207.0
2016-01-01,Grand Est,4.06,2016,1,4,936335.0
2016-01-01,Hauts-de-France,4.72,2016,1,4,1199426.0
2016-01-01,Normandie,6.09,2016,1,4,1354287.0
2016-01-01,Nouvelle-Aquitaine,8.45,2016,1,4,1593378.0
2016-01-01,Occitanie,8.94,2016,1,4,1804469.0
2016-01-01,Pays de la Loire,8.15,2016,1,4,1943889.0
2016-01-01,Provence-Alpes-Côte d'Azur,9.03,2016,1,4,2182732.0
2016-01-01,Île-de-France,6.03,2016,1,4,2581916.0
2016-01-02,Auvergne-Rhône-Alpes,7.2,2016,1,5,375285.0
2016-01-02,Bourgogne-Franche-Comté,7.18,2016,1,5,492540.0
2016-01-02,Bretagne,9.14,2016,1,5,623408.0
2016-01-02,Centre-Val de Loire,9.07,2016,1,5,729831.0
2016-01-02,Grand Est,6.45,2016,1,5,972211.0
2016-01-02,Hauts-de-France,8.51,2016,1,5,1249540.0
2016-01-02,Normandie,8.67,2016,1,5,1408221.0
2016-01-02,Nouvelle-Aquitaine,9.73,2016,1,5,1649485.0
2016-01-02,Occitanie,9.0,2016,1,5,1864636.0
2016-01-02,Pays de la Loire,9.88,2016,1,5,2012765.0
2016-01-02,Provence-Alpes-Côte d'Azur,9.5,2016,1,5,2258866.0
2016-01-02,Île-de-France,8.73,2016,1,5,2663018.0
2016-01-03,Auvergne-Rhône-Alpes,5.08,2016,1,6,383484.0
2016-01-03,Bourgogne-Franche-Comté,5.74,2016,1,6,499952.0
2016-01-03,Bretagne,9.15,2016,1,6,627017.0
2016-01-03,Centre-Val de Loire,6.52,2016,1,6,738944.0
2016-01-03,Grand Est,5.59,2016,1,6,979497.0
2016-01-03,Hauts-de-France,6.7,2016,1,6,1259912.0
2016-01-03,Normandie,6.85,2016,1,6,1420462.0
2016-01-03,Nouvelle-Aquitaine,8.56,2016,1,6,1671694.0
2016-01-03,Occitanie,7.52,2016,1,6,1898257.0
2016-01-03,Pays de la Loire,8.0,2016,1,6,2050169.0
2016-01-03,Provence-Alpes-Côte d'Azur,6.81,2016,1,6,2304424.0
2016-01-03,Île-de-France,6.69,2016,1,6,2725357.0
